iter	Passed	Remaining
631	33120	19285
632	33168	19230
633	33220	19177
634	33271	19124
635	33325	19073
636	33372	19017
637	33460	18985
638	33511	18932
639	33559	18877
640	33614	18826
641	33665	18773
642	33717	18720
643	33766	18665
644	33823	18616
645	33876	18563
646	33923	18508
647	33971	18453
648	34014	18396
649	34062	18341
650	34111	18287
651	34160	18232
652	34206	18177
653	34249	18119
654	34292	18062
655	34335	18005
656	34386	17952
657	34441	17901
658	34492	17847
659	34539	17792
660	34591	17740
661	34633	17682
662	34684	17629
663	34810	17615
664	34906	17584
665	34959	17532
666	35007	17477
667	35056	17423
668	35103	17367
669	35152	17314
670	35197	17257
671	35249	17205
672	35293	17148
673	35343	17094
674	35395	17042
675	35443	16987
676	35495	16935
677	35541	16879
678	35589	16825
679	35638	16771
680	35682	16714
681	35726	16658
682	35774	16603
683	35824	16550
684	35879	16499
685	35931	16446
686	35978	16391
687	36029	16339
688	36073	16282
689	36123	16229
690	36173	16176
691	36219	16120
692	36266	16065
693	36311	16010
694	36359	15956
695	36405	15901
696	36452	15846
697	36504	15794
698	36546	15737
699	36595	15683
700	36645	15630
701	36696	15577
702	36751	15526
703	36803	15474
704	36845	15417
705	36892	15363
706	36938	15308
707	36983	15252
708	37027	15197
709	37070	15141
710	37120	15088
711	37246	15066
712	37304	15016
713	37355	14962
714	37407	14910
715	37454	14856
716	37504	14802
717	37549	14747
718	37599	14694
719	37645	14640
720	37696	14587
721	37744	14533
722	37789	14478
723	37834	14422
724	37881	14369
725	37925	14313
726	37966	14256
727	38014	14203
728	38059	14148
729	38111	14095
730	38155	14040
731	38214	13990
732	38258	13935
733	38305	13881
734	38358	13829
735	38411	13777
736	38460	13724
737	38511	13672
738	38557	13617
739	38599	13561
740	38646	13508
741	38696	13455
742	38744	13401
743	38794	13348
744	38843	13295
745	38890	13241
746	38937	13187
747	38981	13132
748	39035	13081
749	39079	13026
750	39126	12972
751	39172	12918
752	39221	12865
753	39268	12811
754	39317	12758
755	39363	12704
756	39420	12654
757	39463	12599
758	39512	12546
759	39561	12493
760	39605	12438
761	39649	12384
762	39701	12332
763	39749	12278
764	39795	12224
765	39841	12170
766	39890	12117
767	39940	12065
768	39986	12011
769	40036	11958
770	40085	11906
771	40138	11854
772	40185	11800
773	40233	11747
774	40281	11694
775	40327	11640
776	40371	11586
777	40418	11533
778	40462	11479
779	40509	11425
780	40556	11372
781	40604	11319
782	40644	11264
783	40696	11212
784	40743	11159
785	40789	11105
786	40839	11053
787	40881	10998
788	40933	10946
789	40979	10893
790	41025	10839
791	41069	10785
792	41115	10732
793	41159	10678
794	41204	10624
795	41249	10571
796	41297	10518
797	41338	10464
798	41384	10410
799	41433	10358
800	41481	10305
801	41533	10253
802	41583	10201
803	41635	10149
804	41680	10096
805	41730	10044
806	41777	9991
807	41832	9940
808	41876	9886
809	41923	9833
810	41970	9781
811	42017	9728
812	42062	9674
813	42112	9622
814	42158	9569
815	42204	9516
816	42252	9464
817	42305	9412
818	42357	9361
819	42403	9308
820	42447	9254
821	42490	9201
822	42536	9148
823	42582	9095
824	42634	9043
825	42687	8992
826	42741	8941
827	42787	8888
828	42842	8837
829	42885	8783
830	42935	8731
831	42993	8681
832	43038	8628
833	43083	8575
834	43129	8522
835	43176	8470
836	43225	8417
837	43274	8365
838	43324	8313
839	43371	8261
840	43418	8208
841	43463	8155
842	43511	8103
843	43629	8064
844	43721	8019
845	43769	7967
846	43819	7915
847	43863	7862
848	43914	7810
849	43961	7757
850	44043	7711
851	44119	7664
852	44163	7610
853	44208	7557
854	44301	7513
855	44403	7469
856	44466	7419
857	44508	7366
858	44556	7313
859	44609	7262
860	44663	7210
861	44713	7158
862	44758	7105
863	44803	7052
864	44853	7000
865	44901	6947
866	44953	6895
867	45000	6843
868	45048	6791
869	45094	6738
870	45140	6685
871	45185	6632
872	45230	6579
873	45278	6527
874	45321	6474
875	45367	6421
876	45411	6368
877	45453	6315
878	45496	6262
879	45544	6210
880	45586	6157
881	45638	6105
882	45689	6053
883	45733	6001
884	45781	5948
885	45828	5896
886	45873	5844
887	45923	5792
888	45969	5739
889	46014	5687
890	46060	5634
891	46104	5582
892	46152	5530
893	46198	5477
894	46250	5426
895	46298	5373
896	46348	5322
897	46391	5269
898	46439	5217
899	46488	5165
900	46536	5113
901	46588	5061
902	46643	5010
903	46690	4958
904	46735	4905
905	46781	4853
906	46831	4801
907	46877	4749
908	46929	4698
909	46977	4646
910	47025	4594
911	47066	4541
912	47106	4488
913	47155	4436
914	47203	4385
915	47255	4333
916	47305	4281
917	47359	4230
918	47404	4178
919	47449	4126
920	47496	4074
921	47546	4022
922	47590	3970
923	47640	3918
924	47692	3866
925	47738	3814
926	47783	3762
927	47828	3710
928	47877	3659
929	47925	3607
930	47975	3555
931	48022	3503
932	48071	3452
933	48117	3400
934	48168	3348
935	48210	3296
936	48255	3244
937	48307	3193
938	48356	3141
939	48406	3089
940	48451	3037
941	48559	2989
942	48661	2941
943	48714	2889
944	48757	2837
945	48803	2785
946	48845	2733
947	48892	2681
948	48937	2629
949	48984	2578
950	49033	2526
951	49078	2474
952	49125	2422
953	49168	2370
954	49217	2319
955	49265	2267
956	49315	2215
957	49358	2163
958	49408	2112
959	49451	2060
960	49494	2008
961	49543	1957
962	49591	1905
963	49639	1853
964	49691	1802
965	49738	1750
966	49787	1699
967	49827	1647
968	49879	1595
969	49933	1544
970	49982	1492
971	50027	1441
972	50073	1389
973	50119	1337
974	50167	1286
975	50222	1234
976	50271	1183
977	50324	1132
978	50369	1080
979	50416	1028
980	50461	977
981	50503	925
982	50548	874
983	50597	822
984	50644	771
985	50693	719
986	50738	668
987	50784	616
988	50834	565
989	50877	513
990	50920	462
991	50967	411
992	51010	359
993	51056	308
994	51098	256
995	51147	205
996	51195	154
997	51242	102
998	51285	51
999	51332	0
